feature,gain
m01_mean_vs_all,9888.885370890299
m01_pt_max,9884.166712443033
new_mer_numerical_1_mean,9850.417973836264
hist_weekend_mean,9701.038991292318
decx_merchant_category_id_nunique,9637.896321614584
hist_hol_black_friday_2017_mean,9604.927022298178
hist_installments_std,9602.65126546224
m0_last_to_ref_days,9547.076629638672
new_cat3_1_mean,9517.018381754557
hist_cat2_1_mean,9389.017944335938
new_amount_month_ratio_max,9371.707931518555
dec_purchase_amount_sum,9306.10801188151
m01_count_ratio,9224.690607706705
hist_merchant_id_nunique,9214.365666707357
m01_count_per_month,9211.344314575195
hist_month_lag_mean,9198.072774251303
hist_merchant_category_id_nunique,9166.427983601889
hist_recent3_count_ratio,9128.966328938803
hist_lag-6_sum,9124.352635701498
decx_sum_per_month,9116.451655069986
hist_purchase_amount_median,9116.094334920248
x_installments_mean_ratio,9113.500345865885
hist_mer_avg_sales_lag3_mean,9081.886324564615
m0_mean_vs_all,9039.24934387207
m0_month_diff_mean,8936.146311442057
m0_purchase_amount_median,8895.840016682943
hist_lag-4_count,8861.528737386068
hist_mer_numerical_1_mean,8843.299992879232
m01_month_lag_mean,8838.938379923502
decx_gap_mean,8832.149724324545
hist_mer_avg_purchases_lag3_mean,8793.830352783203
m0_sum_ratio,8691.776992797852
m012_pt_max,8628.450057983398
m012_purchase_amount_min,8607.134633382162
new_first_buy_days,8587.322636922201
x_purchase_amount_std_diff,8580.902943929037
m0_price_max,8500.848714192709
hist_dow_mean,8431.166305541992
hist_inst_share_1,8375.9880472819
m01_weekend_mean,8343.722305297852
new_mer_avg_sales_lag3_mean,8271.180699666342
new_mer_numerical_2_mean,8269.385935465494
new_cat2_0_mean,8111.836700439453
new_mer_avg_purchases_lag12_mean,8052.390309651692
new_mer_most_recent_sales_range_mean,7979.609024047852
dec_month_lag_mean,7973.401598612468
decx_city_id_nunique,7873.747299194336
new_dow_mean,7843.57335917155
new_amount_month_ratio_min,7803.127334594727
m012_last_to_ref_days,7705.646402994792
decx_purchase_amount_median,7656.033106486003
m0_merchant_id_nunique,7617.283330281575
days_x_feature_3,7608.191319783528
new_purchase_amount_std,7575.285303751628
m0_count,7525.726298014323
hist_mer_numerical_2_mean,7517.478042602539
m012_purchase_amount_std,7507.134053548177
hist_lag-3_count,7445.053080240886
m012_weekend_mean,7392.8343556722
m01_month_diff_std,7330.854329427083
m012_installments_mean,7321.187657674153
m01_installments_mean,7318.761962890625
decx_purchase_amount_max,7291.582977294922
hist_subsector_id_nunique,7291.574935913086
new_monthsum_min,7226.671646118164
m01_price_mean,7160.5309499104815
hist_mer_merchant_group_id_nunique,7159.5565846761065
m01_purchase_amount_std,7151.607981363933
hist_purchase_amount_q25,7065.906331380208
decx_price_max,7033.0303293863935
m0_weekend_mean,6980.082387288411
m01_purchase_amount_max,6926.098378499349
new_mer_avg_sales_lag12_mean,6905.773686726888
m0_merchant_category_id_nunique,6859.618072509766
new_price_max,6796.926345825195
m0_price_mean,6796.903661092122
hist_lag-1_sum,6783.701649983724
decx_price_mean,6679.764007568359
dec_merchant_id_nunique,6600.0997314453125
m012_purchase_amount_median,6589.797027587891
m01_purchase_amount_mean,6588.445048014323
hist_price_max,6389.3113199869795
m01_price_max,6369.965749104817
new_mer_most_recent_purchases_range_mean,6368.088577270508
hist_duration_mean,6356.1732991536455
hist_cat3_2_mean,6314.493342081706
hist_amount_month_ratio_max,6286.417012532552
new_amount_month_ratio_mean,6225.633641560872
new_purchase_amount_q25,6212.93925221761
m01_purchase_amount_sum,6210.210322062175
m012_month_diff_std,6196.902654012044
m0_purchase_amount_sum,6158.346303304036
m0_month_diff_std,6154.815668741862
m012_price_max,6094.9740041097
hist_lag-2_sum,6064.845036824544
hist_mer_avg_sales_lag12_mean,5983.623326619466
ref_minus_fam_months,5971.654652913411
m012_purchase_amount_max,5846.778373718262
hist_clv,5821.002304077148
hist_purchase_amount_iqr,5816.500427246094
new_purchase_amount_iqr,5799.897994995117
hist_pt_max,5798.199671427409
decx_last_to_ref_days,5789.73425801595
hist_lag0_sum,5782.457946777344
new_sum_per_month,5770.697682698567
hist_purchase_amount_sum,5677.399622599284
new_monthsum_std,5667.5426025390625
new_purchase_amount_max,5645.371027628581
new_purchase_amount_ptp,5642.882998148601
hist_ref_month_id,5528.430928548177
m0_city_id_nunique,5470.744959513347
new_monthsum_mean,5419.2873942057295
m0_purchase_amount_max,5375.895039876302
m01_last_to_ref_days,5350.932037353516
hist_monthsum_max,5253.333969116211
m012_merchant_id_nunique,5223.798665364583
fam_ts,5212.88562520345
hist_purchase_amount_std,5169.450693766276
m0_purchase_amount_mean,5149.60897064209
hist_mode_state_id,5142.877721150716
hist_installments_mean,5115.9563395182295
hist_recent3_sum,4987.314651489258
m012_purchase_amount_mean,4919.669326782227
hist_mode_merchant_category_id,4795.783376057942
dec_purchase_amount_mean,4712.336247762044
new_purchase_amount_q75,4622.772623697917
hist_inst_share_3,4566.502990722656
hist_gap_mean,4562.072982788086
new_purchase_amount_median,4560.0557047526045
m012_price_mean,4415.085713704427
new_mer_category_4_mean,4410.187321980794
decx_installments_max,4341.9956614176435
hist_sum_per_month,4325.319310506185
hist_purchase_amount_q75,4242.441324869792
hist_monthsum_std,4234.682978312175
hist_last_to_ref_days,4209.266255696614
hist_city_id_nunique,4071.6099955240884
new_count_per_month,3974.4403635660806
ref_to_end_months,3915.0722045898438
m01_sum_per_month,3886.5453033447266
hist_purchase_amount_max,3828.854695638021
new_installments_mean,3814.9046681722007
new_purchase_amount_mean,3751.3399556477866
m012_sum_per_month,3694.3836873372397
new_price_mean,3679.998998006185
m01_subsector_id_nunique,3664.4467112223306
hist_mode_city_id,3547.9723205566406
hist_price_mean,3504.2333221435547
hist_purchase_amount_mean,3466.6429646809897
new_installments_std,3324.929977416992
decx_merchant_id_nunique,3321.0800272623696
hist_lag-2_count,3304.781667073568
decx_count,3235.0210164388022
hist_installments_max,3159.5236612955728
new_weekend_mean,3024.6286977132163
decx_month_lag_min,3013.575642903646
m012_sum_ratio,2922.5879974365234
m012_subsector_id_nunique,2862.0590159098306
feature_2,2844.187006632487
hist_cat2_4_mean,2742.545644124349
feature_1,2612.407658894857
feature_sum,2600.2573750813804
hist_purchase_amount_ptp,2580.105311075846
hist_state_id_nunique,2570.6503092447915
new_city_id_nunique,2554.6057332356772
m01_merchant_category_id_nunique,2467.9900105794272
newlag2_purchase_amount_count,2465.631317138672
hist_month_lag_min,2401.3336435953775
m012_purchase_amount_sum,2393.7676798502603
decx_month_lag_mean,2382.9156697591147
m012_count_ratio,2346.3673502604165
new_merchant_category_id_nunique,2258.96701558431
new_installments_sum,2248.6953125
newlag2_merchant_id_nunique,2241.5130411783853
m01_merchant_id_nunique,2230.2959899902344
new_month_diff_std,2186.3946787516275
fam_month_id,2140.148651123047
m01_count,2137.3389689127603
m012_count,2130.521687825521
new_installments_max,2116.864985148112
new_mer_active_months_lag12_mean,2084.659957885742
m012_installments_max,1947.5670013427734
new_cat3_2_mean,1890.1693115234375
new_month_diff_mean,1852.4686584472656
m0_installments_max,1839.4513142903645
decx_purchase_amount_sum,1807.0953318277996
hist_cat2_2_mean,1806.7356465657551
hist_cat3_-1_mean,1607.5786590576172
m01_city_id_nunique,1517.0530090332031
