feature,gain
new_monthsum_min,9602.130355834961
hist_amount_month_ratio_max,9479.195332845053
new_amount_month_ratio_mean,9417.621058146158
new_price_max,9311.795282999674
new_monthsum_std,9268.69964090983
hist_merchant_category_id_nunique,9241.11629740397
new_mer_numerical_2_mean,9121.390680948893
hist_monthsum_std,8922.302642822266
hist_mer_numerical_2_mean,8833.955993652344
hist_purchase_amount_std,8739.908381144205
new_purchase_amount_iqr,8636.626037597656
ref_minus_fam_months,8610.347020467123
hist_lag-3_count,8556.955368041992
hist_mer_merchant_group_id_nunique,8369.203659057617
new_purchase_amount_ptp,8104.575012207031
new_sum_per_month,8049.875015258789
fam_ts,8014.53532409668
hist_lag-2_count,7574.695358276367
new_mer_numerical_1_mean,7539.4706954956055
hist_purchase_amount_mean,7535.729014078776
hist_mode_merchant_category_id,7377.262359619141
new_mer_category_4_mean,7301.665674845378
hist_mode_city_id,7032.708979288737
hist_monthsum_max,6794.9326731363935
new_purchase_amount_median,6671.367736816406
hist_purchase_amount_max,6440.088312784831
hist_mode_state_id,5991.513005574544
new_count_per_month,5877.539016723633
hist_purchase_amount_ptp,5769.1110280354815
new_month_diff_mean,5756.871332804362
hist_month_lag_min,5411.422688802083
hist_installments_max,5393.238037109375
new_purchase_amount_mean,5374.889724731445
hist_lag-1_count,5349.112660725911
hist_purchase_amount_sum,5318.427037556966
ref_to_end_months,4914.274739583333
new_mer_active_months_lag12_mean,4845.6039962768555
hist_state_id_nunique,4520.940297444661
feature_1,4436.595359802246
new_installments_mean,4434.893020629883
hist_cat2_4_mean,4409.002329508464
newlag2_purchase_amount_count,4375.464324951172
new_purchase_amount_max,4291.4639892578125
hist_cat3_0_mean,4175.273340861003
hist_city_id_nunique,3936.6856587727866
feature_sum,3923.0586598714194
new_purchase_amount_q75,3822.4942830403647
new_weekend_mean,3817.9979858398438
new_purchase_amount_q25,3529.597371419271
new_price_mean,3372.055018107096
new_cat2_1_mean,2745.6820068359375
new_installments_sum,2684.0013732910156
new_monthsum_mean,2642.55300394694
new_installments_std,2579.2903493245444
feature_2,2282.2750040690103
new_month_diff_std,2235.3590037027993
new_cat3_2_mean,2222.7966969807944
new_cat2_4_mean,2217.5459899902344
hist_cat2_3_mean,2201.504679361979
new_month_diff_max,1929.930699666341
new_merchant_id_nunique,1811.3036702473958
new_subsector_id_nunique,1704.8329976399739
